,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,lyrics
11,Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,128,87,62,-4,6,47,235,3,3,73,"You know I know how To make 'em stop and stare as I zone out The club can't even handle me right now Watchin' you watchin' me I go all out The club can't even handle me right now The club can't even handle me right now Hey I own the night and I don't need no help Gotta be the feeling that Scarface player Stuntin' go wild can't handle this plan Life of the club arrogant like yeah! Top like money all the girls just melt Want so many all know me like Twelve Look like cash and they all just stare Bottles, Models, standin' on chairs Fall out cause that's the business All out it's so ridiculous Zone out so much attention Scream out I'm in the building (hey!) They watchin' I know this I'm rockin' I'm rolling I'm holding, I know it You know it You know I know how To make 'em stop and stare as I zone out The club can't even handle me right now Watchin' you watchin' me I go all out The club can't even handle me right now The club can't even handle me right now Hey Still feelin' myself I'm like outta control Can't stop now more shots lets go Ten more rounds can I get a K-O Paparazzi trying to make me pose Came to party till I can no more Celebrate cause that's all I know Tip the groupies takin' off their clothes Grand finale' like Superbowl Go hard run the show That's right wild out got money to blow More lights more ice when I walk in the door No hype I do it big all over the globe Yeah! I said it Go tell it Confetti Who ready? I'm ready! You ready! Lets get it! You know I know how To make 'em stop and stare as I zone out The club can't even handle me right now Watchin' you watchin' me I go all out The club can't even handle me right now (Put your hands up!) (Put your hands up!) (Put your hands up!) The club can't even handle me right now (Put your hands up!) (Put your hands up!) (Put your hands up!) You got me watchin' now (hey) Got my attention now (hey) Got everybody in the club wanting to know now I am a ladies man Come be my lady and, We can ball, so, ah Bring ya body here let me switch up your atmosphere Take you out of this club and in my new Lear Fly you all around the world What you want baby girl Are you ready to go now! You know I know how To make em stop and stare as I zone out The club can't even handle me right now Watchin' you watchin' me I go all out The club can't even handle me right now (Put your hands up!) (Put your hands up!) (Put your hands up!) The club can't even handle me right now (Put your hands up!) Let's celebrate now (Put your hands up!) You know who shut it down!"
12,Marry You,Bruno Mars,pop,2010,145,83,62,-5,10,48,230,33,4,73,"It's a beautiful night, we're looking for something dumb to do Hey baby, I think I wanna marry you Is it the look in your eyes or is it this dancing juice? Who cares, baby, I think I wanna marry you Well, I know this little chapel on the boulevard we can go No one will know, oh, come on girl Who cares if we're trashed, got a pocket full of cash we can blow Shots of patron and it's on, girl Don't say no, no, no, no, no Just say yeah, yeah, yeah, yeah, yeah And we'll go, go, go, go, go If you're ready, like I'm ready 'Cause it's a beautiful night, we're looking for something dumb to do Hey baby, I think I wanna marry you Is it the look in your eyes or is it this dancing juice? Who cares, baby, I think I wanna marry you, oh I'll go get a ring, let the choir bells sing like, ooh So what ya wanna do? Let's just run, girl If we wake up and you wanna break up, that's cool No, I won't blame you, it was fun, girl Don't say no, no, no, no, no Just say yeah, yeah, yeah, yeah, yeah And we'll go, go, go, go, go If you're ready, like I'm ready 'Cause it's a beautiful night, we're looking for something dumb to do Hey baby, I think I wanna marry you Is it the look in your eyes or is it this dancing juice? Who cares, baby, I think I wanna marry you Just say I do Tell me right now, baby Tell me right now, baby, baby Just say I do Tell me right now, baby Tell me right now, baby, baby, oh It's a beautiful night, we're looking for something dumb to do Hey baby, I think I wanna marry you Is it the look in your eyes or is it this dancing juice? Who cares, baby, I think I wanna marry you"
13,Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130,82,77,-5,70,63,213,18,5,73,"If I could write you a song to make you fall in love I would already have you up under my arm I used up all my tricks, I hope that you like this But, you probably won't, you think you're cooler than me You got designer shades just to hide your face And you wear 'em around like you're cooler than me And you never say hey, or remember my name And it's probably 'cause you think you're cooler than me You got your high brow, shoes on your feet And you wear 'em around like it ain't shit But you don't know the way that you look When your steps make that much noise Shh, I got you all figured out You need everyone's eyes just to feel seen Behind your make up nobody knows who you even are Who do you think that you are If I could write you a song to make you fall in love I would already have you up under my arm I used up all my tricks, I hope that you like this But, you probably won't, you think you're cooler than me You got designer shades just to hide your face And you wear 'em around like you're cooler than me And you never say hey, or remember my name And it's probably 'cause you think you're cooler than me You got your high brow, switchin' your walk And you don't even look when you pass by But you don't know the way that you look When your steps make that much noise Shh, I got you all figured out You need everyone's eyes just to feel seen Behind your make up nobody knows who you even are Who do you think that you are 'Cause it's your scene, (it's your scene) I got no doubt We all see You got your head in the clouds If I could write you a song to make you fall in love I would already have you up under my arm I used up all my tricks, I hope that you like this But, you probably won't, you think you're cooler than me You got designer shades just to hide your face And you wear 'em around like you're cooler than me And you never say hey, or remember my name And it's probably 'cause you think you're cooler than me"
14,Telephone,Lady Gaga,dance pop,2010,122,83,83,-6,11,71,221,1,4,73,"Hello, hello, baby You called, I can't hear a thing I have got no service In the club, you see, see Wha-wha-what did you say? Oh, you're breaking up on me Sorry, I cannot hear you I'm kinda busy K-kinda busy K-kinda busy Sorry, I cannot hear you I'm kinda busy Just a second It's my favorite song they're gonna play And I cannot text you with A drink in my hand, eh You shoulda made some plans with me You knew that I was free And now you won't stop calling me I'm kinda busy Stop callin', stop callin' I don't wanna think any more I left my head and heart on the dance floor Stop callin', stop callin' I don't wanna talk anymore I got my head and my heart on the dance floor Eh, eh, eh, eh, eh, eh, eh, eh, eh, eh Stop telephonin' me Eh, eh, eh, eh, eh, eh, eh, eh, eh I'm busy, eh, eh, eh, eh, eh, eh, eh, eh Stop telephonin' me Eh, eh, eh, eh, eh, eh, eh Call all you want, but there's no one home And you're not gonna reach my telephone Out in the club, and I'm sippin' that bub And you're not gonna reach my telephone Call all you want, but there's no one home And you're not gonna reach my telephone Out in the club, and I'm sippin' that bub And you're not gonna reach my telephone Boy, the way you blowin' up my phone Won't make me leave no faster Put my coat on faster Leave my girls no faster I shoulda left my phone at home 'Cause this is a disaster Callin' like a collector Sorry, I cannot answer Not that I don't like you I'm just at a party And I am sick and tired Of my phone ringin' Sometimes I feel like I live in Grand Central Station Tonight I'm not takin' no calls 'Cause I'll be dancin' 'Cause I'll be dancin' 'Cause I'll be dancin' Tonight I'm not takin' no calls 'Cause I'll be dancin' Stop callin', stop callin' I don't wanna think any more I left my head and my heart on the dance floor Stop callin', stop callin' I don't wanna talk any more I left my head and my heart on the dance floor Stop callin', stop callin' I don't wanna think any more I left my head and my heart on the dance floor Stop callin', stop callin' I don't wanna talk any more I left my head and my heart on the dance floor Eh, eh, eh, eh, eh, eh, eh, eh, eh, eh Stop telephonin' me Eh, eh, eh, eh, eh, eh, eh, eh, eh I'm busy, eh, eh, eh, eh, eh, eh, eh Stop telephonin' me Eh, eh, eh, eh, eh, eh, eh Can call all you want but there's no one home And you're not gonna reach my telephone 'Cause I'm out in the club and I'm sippin' that bub And you're not gonna reach my telephone Call all you want but there's no one home And you're not gonna reach my telephone 'Cause I'm out in the club and I'm sippin' that bub And you're not gonna reach my telephone My telephone M-m-my telephone 'Cause I'm out in the club and I'm sippin' that bub And you're not gonna reach my telephone My telephone M-m-my telephone 'Cause I'm out in the club and I'm sippin' that bub And you're not gonna reach my telephone We're sorry the number you have reached is not in service at this time Please check the number, or try your call again"
15,Like A G6,Far East Movement,dance pop,2010,125,84,44,-8,12,78,217,1,45,72,"Poppin bottles in the ice, like a blizzard When we drink we do it right, gettin' slizzard Sippin' sizzurp in my ride, in my ride, like a Three 6 Now I'm feelin' so fly like a G6 Like a G6, like a G6 Now, now, now, now, now, now I'm feelin' so fly like a G6 Like a G6, like a G6 Now, now, now, now, now, now I'm feelin' so fly like a G6 Give me that Mo-Moet-wet Give me that Cry-Crystal-tal Ladies love my style, at my table gettin' wild Get them bottles poppin, we get that drip and that drop Now give me 2 more bottles 'cause you know it don't stop Hell yeah Drink it up, drink-drink it up, When sober girls around me, they be actin' like they drunk They be actin' like they drunk, actin'-actin' like they drunk Whe, when sober girls around me they be actin' like they drunk-unk-unk Poppin' bottles in the ice, like a blizzard When we drink we do it right gettin' slizzard Sippin' sizzurp in my ride, in my ride, like a Three 6 Now I'm feelin' so fly like a G6 Like a G6, like a G6 Now, now, now, now, now, now I'm feelin' so fly like a G6 Like a G6, like a G6 Now, now, now, now, now, now I'm feelin' so fly like a G6 Sippin on, sippin on sizz, I'ma ma-make it fizz Girl I keep it gangster, poppin' bottles at the crib, crib This is how we live, every single night Take that bottle to the head, and let me see you fly Hell yeah Drink it up, drink-drink it up When sober girls around me, they be actin' like they drunk They be actin' like they drunk, actin' like they drunk Whe, when sober girls around me they be actin' like they dru-u-unk Poppin' bottles in the ice, like a blizzard When we drink we do it right gettin slizzard Sippin' sizzurp in my ride, in my ride, like Three 6 Now I'm feelin' so fly like a G6 Like a G6, like a G6 Now, now, now, now, now, now I'm feelin' so fly like a G6 Like a G6, like a G6 Now, now, now, now, now, now I'm feelin' so fly like a G6 It's that 808 bump, make you put yo hands up Make you put yo hands up, put yo, put yo hands up (You can't touch this) It's that 808 bump, make you put yo hands up Make you put yo hands up, put yo, put yo hands up (You can't touch this) Hell yeah, make you put yo hands up Make you put yo hands up, put yo, put yo hands up (You can't touch this) Hell yeah, make you put yo hands up Make you put yo hands up, put yo, put yo hands up Poppin' bottles in the ice, like a blizzard When we drink we do it right gettin' slizzard Sippin' sizzurp in my ride, in my ride, like Three 6 Now I'm feelin' so fly like a G6 Like a G6, like a G6 Now, now, now, now, now, now I'm feelin' so fly like a G6 Like a G6, like a G6 Now, now, now, now, now, now I'm feelin' so fly like a G6"
16,OMG (feat. will.i.am),Usher,atl hip hop,2010,130,75,78,-6,36,33,269,20,3,72,"Oh my gosh Baby let me Did it again, so I'mma let the beat rock Oh my Baby let me love you down There's so many ways to love ya  Baby I can break you down There's so many ways to love ya Got me like, ooh my gosh I'm so in love I found you finally, you make me wanna say Oh, oh, oh, oh, oh, oh, oh, oh Oh, oh, oh, oh, oh, oh, oh, oh Oh my gosh You make me want to say Oh, oh, oh, oh, oh, oh, oh, oh, oh I fell in love with shawty when I seen her on the dance floor She was dancing sexy, pop, pop, popping, dropping, dropping low Never ever has a lady hit me at the first sight This was something special this was just like dynamite Honey got a booty like pow, pow, pow Honey got some boobies like wow, oh wow Girl you know I'm loving your, loving your style Check, check, check, check, check, checking you out like Ooh (ooh) she got it all Sexy from her head to her toes And I want it all, 'n all, 'n all Baby let me love you down There's so many ways to love ya Baby I can break you down There's so many ways to love ya Got me like, ooh my gosh I'm so in love I found you finally, you make me want to say Oh, oh, oh, oh, oh, oh, oh, oh Oh, oh, oh, oh, oh, oh, oh, oh Oh my gosh You make me want to say You make me want to say Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh Fell so hard for honey out of all the girls up in this club This one got me whipped, just off one look, yep I fell in love this one something special, this one just like dynamite Oh, oh, oh, oh, oh, oh, oh out of sight Fell in love with honey like my, oh my Honey looking wonderful, fly, so fly Honey like a supermodel, my, oh my Baby how you do that, make a grown man cry? Ooh (ooh) baby, you got it all Sexy from her head to her toes And I want it all, n' all, n' all So, honey let me love you down There's so many ways to love ya Baby I can break it down There's so many ways to love ya Got me like, ooh my gosh I'm so in love I found you finally You make me want to say Oh, oh, oh, oh, oh, oh, oh, oh Oh, oh, oh, oh, oh, oh, oh, oh Oh my gosh Oh my gosh Oh my Oh my Oh, oh my gosh Oh my gosh I did it again So I'm gone let the beat rock Oh, oh, oh my Oh, oh, oh my, my, my, my Ooh my gosh Oh, oh, oh my Oh, oh, oh my, my, my, my Ooh my gosh Oh my gosh"
17,Eenie Meenie,Sean Kingston,dance pop,2010,121,61,72,-4,11,83,202,5,3,71,"Eenie meenie miney mo Catch a bad chick by her toe If she holla If-if, if she holla, let her go She's indecisive, she can't decide She keeps on lookin' from left to right Girl, come a bit closer, look in my eyes Searching is so wrong, I'm Mr. Right You seem like the type to love 'em and leave 'em And disappear right after this song So give me the night to show you, hold you Don't leave me out here dancing alone You can't make up your mind, mind, mind, mind, mind Please don't waste my time, time, time, time, time I'm not tryna rewind, -wind, -wind, -wind, -wind I wish our hearts could come together as one 'Cause shorty is a eenie meenie miney mo lover Shorty is a eenie meenie miney mo lover Shorty is a eenie meenie miney mo lover Shorty is a eenie meenie miney mo lover, oh-oh-oh-oh Let me show you what you're missin', paradise With me you're winning, girl, you don't have to roll the dice Tell me what you're really here for (here for) Them other guys? I can see right through ya You seem like the type to love 'em and leave 'em And disappear right after the song So give me the night to show you and hold you Don't leave me out here dancin' alone Can't make up your mind, mind, mind, mind, mind Please don't waste my time, time, time, time, time Not trying rewind, -wind, -wind, -wind, -wind I wish our hearts could come together as one Shorty is a eenie meenie miney mo lover Shorty is a eenie meenie miney mo lover Shorty is a eenie meenie miney mo lover Shorty is a eenie meenie miney mo lover, oh-oh-oh-oh Eenie meenie miney moe, catch a bad chick by her toe If she holla, if-if, if she holla let her go Eenie meenie miney moe, catch a bad chick by her toe If she holla, la, la, la she holla let her go Shorty is a eenie meenie miney mo lover Shorty is a eenie meenie miney mo lover Shorty is a eenie meenie miney mo lover Shorty is a eenie meenie miney mo lover You can't make up your mind, mind, mind, mind, mind Please don't waste my time, time, time, time, time I'm not tryna rewind, -wind, -wind, -wind, -wind (ooh, yeah) I wish our hearts could come together as one Shorty is a eenie meenie miney mo lover Shorty is a eenie meenie miney mo lover Shorty is a eenie meenie miney mo lover Shorty is a eenie meenie miney mo lover, oh-oh-oh-oh"
18,The Time (Dirty Bit),The Black Eyed Peas,dance pop,2010,128,81,82,-8,60,44,308,7,7,70,"(This is international) (Big mega radio smasher) I had the time of my life And I never felt this way before And I swear this is true And I owe it all to you Oh I had the time of my life And I never felt this way before And I swear this is true And I owe it all to you-y-y-y-y-yy-y-y-y ... dirty bit ... dirty bit I-I came up in here to rock Light a fire make it hot I don't wanna take no pictures I just wanna take some shots so Come on let's go Let's lose control Let's do it all night 'Till we can do it no more People rock it to the sound Turn it up and watch it pound We gon' rock it to the top 'Till the roof come burning down Yea it's hot in here The temperature Has got these ladies gettin' freakier I got freaky, freaky, baby I was chillin with my ladies I didn't come to get boji I come here to get crazy I was born to get wild That's my style If you didn't know that, Well baby now you know now, 'Cause I'm Havin' A good time with you I'm tellin' you I had the time of my life And I never felt this way before And I swear this is true And I owe it all to you Oh I had the time of my life And I never felt this way before And I swear this is true And I owe it all to you y-y-y-y-y-y-y-y-y ... dirty bit ... dirty bit A-All these girls they like my swagger They callin me Mick Jagger I be rollin like a stone Jet setter, Jet lagger We ain't messin' with no maggots Messin' with the baddest Chicks in the club Honey what's up Mirror, mirror on the wall Who's the baddest of them all It's gotta be the apl I'm the mac daddy, ya'll Haters better step back Ladies don't load you're act I'm the party application rock it just like that (This is international) (Big mega radio smasher) 'Cause I'm Havin' A good time with you I'm tellin' you I-I-I-I'v had the time of my li-I-fe And I never felt this way before-fore And I swear-wear this is true ue-ue-ue And I owe it all to you Oh I-I-I I'v had the time of my li-I-fe And I never felt this way before-fore And I swear-wear this is true-ue-ue-ue And I owe it all to you I-I-I-I-I had the time of my li-I-fe And I never felt this way before-fore And I swear-wear this is true-ue-ue-ue And I owe it all to you Oh I-I-I-I'v had the time of my li-I-fe And I never felt this way before-fore And I swear-wear this is true-ue-ue-ue And I owe it all to you dirty bit"
19,Alejandro,Lady Gaga,dance pop,2010,99,80,63,-7,36,37,274,0,5,69,"I know that we are young And I know that you may love me But I just can't be with you like this anymore Alejandro She's got both hands In her pocket And she won't look at you (won't look at you) She hides true love En su bolsillo She's got a halo around her finger Around you You know that I love you boy Hot like Mexico Rejoice At this point I've gotta choose Nothing to lose Don't call my name Don't call my name Alejandro I'm not your babe I'm not your babe Fernando Don't wanna kiss Don't wanna touch Just smoke my cigarette, hush Don't call my name Don't call my name Roberto Alejandro Alejandro Ale-alejandro Ale-alejandro Stop Please, just let me go Alejandro Just let me go She's not broken She's just a baby But her boyfriend's like her dad Just like a dad And all those flames that Burned before him Now he's gotta firefight Gotta cool the bad You know that I love you boy Hot like Mexico Rejoice At this point I've gotta choose Nothing to lose Don't call my name Don't call my name Alejandro I'm not your babe I'm not your babe Fernando Don't wanna kiss Don't wanna touch Just smoke my cigarette, hush Don't call my name Don't call my name Roberto Alejandro Alejandro Ale-alejandro Ale-alejandro Don't bother me Don't bother me Alejandro Don't call my name Don't call my name Bye, Fernando I'm not your babe I'm not your babe Alejandro Don't wanna kiss Don't wanna touch Fernando Don't call my name Don't call my name Alejandro I'm not your babe I'm not your babe Fernando Don't wanna kiss Don't wanna touch Just smoke my cigarette, hush Don't call my name Don't call my name Roberto Alejandro Alejandro Ale-alejandro Ale-alejandro Don't call my name Don't call my name Alejandro I'm not your babe I'm not your babe Fernando Don't wanna kissDon't wanna touch Just smoke my cigarette, hush Don't call my name Don't call my name Roberto Alejandro"
20,Your Love Is My Drug,Kesha,dance pop,2010,120,61,83,-4,9,76,187,1,10,69,"Maybe I need some rehab Or maybe just need some sleep I got a sick obsession I'm seeing it in my dreams I'm looking down every alley I'm making those desperate calls I'm staying up all night hoping hitting my head against the wall What you got, boy, is hard to find I think about it all the time I'm all strung out, my heart is fried I just can't get you off my mind! Because your love, your love, your love is my drug Your love, your love, your love (I said) Your love, your love, your love is my drug Your love, your love, your love Won't listen to any advice Momma's telling me I should think twice But left to my own devices, I'm addicted – it's a crisis My friends think I've gone crazy My judgment's gettin' kinda hazy My sleaze is gonna be affected If I keep it up like a love sick crack head What you got, boy, is hard to find I think about it all the time I'm all strung out, my heart is fried I just can't get you off my mind! Because your love, your love, your love is my drug Your love, your love, your love (I said) Your love, your love, your love is my drug Your love, your love, your love I don't care what people say The rush is worth the price I pay I get so high when you're with me But crash and crave you when you leave Hey, so I got a question Do you wanna have a slumber party in my basement? Do I make your heart beat like an 808 drum Is my love your drug? Your drug? Huh, your drug? Huh, your drug? Is my love your drug? Because your love, your love, your love is my drug Your love, your love, your love (I said) Your love, your love, your love is my drug Your love, your love, your love Because your love, your love, your love is my drug Your love, your love, your love (I said) Your love, your love, your love is my drug Your love, your love, your love Hey, hey, so Your love, your love, your love, your love is my drug I like your beard"
21,Meet Me Halfway,The Black Eyed Peas,dance pop,2010,130,63,80,-7,32,40,284,0,7,68,"I can't go any further than this I want you so badly, it's my biggest wish Cool, I spend my time just thinking thinking thinking bout you Every single day yes, I'm really missin' missin' you And all those things we used to used to used to used to do Hey, girl, what's up? It used to used to be just me and you I spend my time just thinking thinking thinking bout you Every single day, yes I'm really missing missing you And all those things we used to used to used to used to do Hey, girl, what's up? What's up? What's up? What's up? Can you meet me halfway, right at the borderline That's where I'm gonna wait for you I'll be looking out, night and day Took my heart to the limit, and this is where I'll stay I can't go any further than this I want you so bad, it's my only wish  Girl, I travel 'round the world and even sail the seven seas Across the universe I go to other galaxies Just tell me where to go, just tell me where you wanna meet I navigate myself myself to take me where you be 'Cause, girl, I want, I, I, I want you right now I travel uptown (town) I travel downtown I wanna have you around ('round) like every single day I love you alway—way I'll meet you halfway Can you meet me halfway? Right at the borderline That's where I'm gonna wait for you I'll be looking out, night and day Took my heart to the limit, and this is where I'll stay I can't go any further than this I want you so bad, it's my only wish I can't go any further than this I want you so bad, it's my only wish Let's walk the bridge to the other side Just you and I, just you and I I will fly, I'll fly the skies, for you and I, for you and I I will try until I die, for you and I, for you and I, for, for you and I For, for you and I, for, for you and I, for you and I Can you meet me halfway? Can you meet me halfway? Can you meet me halfway? Can you meet me halfway? Meet me halfway, right at the borderline That's where I'm gonna wait for you I'll be looking out, night and day Took my heart to the limit, and this is where I'll stay I can't go any further than this I want you so bad it's my only wish I can't go any further than this I want you so bad it's my only wish"
